# Aion2 地图场景 CDN 下载链接
# 来源：2026-08-13 资源清单 localfilelist.bin；共 78 张。
# URL 末尾虽为 .zip，响应内容实际是原始 UnityFS 场景；下载后按 relative_path 保存。
# 校验：文件大小必须等于 size_bytes，XXH64 必须等于 xxh64。
# 字段：map_id | status | size_bytes | download_flag | xxh64 | relative_path | url

ab1 | not_downloaded | 281455014 | 400010000 | 4a3ec2c6e8f83ba8 | levels/ab1/ab1.unity.scene | http://download10.sglt.asia/assets_android/levels/ab1/ab1.unity.scene_4a3ec2c6e8f83ba8.zip
arena_d_lobby | not_downloaded | 74272766 | 120080000 | 8b56d928c147e067 | levels/arena_d_lobby/arena_d_lobby.unity.scene | http://download10.sglt.asia/assets_android/levels/arena_d_lobby/arena_d_lobby.unity.scene_8b56d928c147e067.zip
arena_l_lobby | not_downloaded | 65427359 | 110070000 | 3d615885022b032b | levels/arena_l_lobby/arena_l_lobby.unity.scene | http://download10.sglt.asia/assets_android/levels/arena_l_lobby/arena_l_lobby.unity.scene_3d615885022b032b.zip
dc1 | not_downloaded | 218080219 | 120010000 | 73deeb6de6be8c49 | levels/dc1/dc1.unity.scene | http://download10.sglt.asia/assets_android/levels/dc1/dc1.unity.scene_73deeb6de6be8c49.zip
dc2 | not_downloaded | 26651402 | 120020000 | a02758a38b608fbe | levels/dc2/dc2.unity.scene | http://download10.sglt.asia/assets_android/levels/dc2/dc2.unity.scene_a02758a38b608fbe.zip
df1 | downloaded | 170965420 | 0 | c84a6bd32963d5d7 | levels/df1/df1.unity.scene | http://download10.sglt.asia/assets_android/levels/df1/df1.unity.scene_c84a6bd32963d5d7.zip
df1a | not_downloaded | 370461608 | 220030000 | 52e6307b829b761a | levels/df1a/df1a.unity.scene | http://download10.sglt.asia/assets_android/levels/df1a/df1a.unity.scene_52e6307b829b761a.zip
df2 | not_downloaded | 566194294 | 220020000 | a7f54fd229f6d6a7 | levels/df2/df2.unity.scene | http://download10.sglt.asia/assets_android/levels/df2/df2.unity.scene_a7f54fd229f6d6a7.zip
df2a | not_downloaded | 354262367 | 220050000 | ab7a066b08327b87 | levels/df2a/df2a.unity.scene | http://download10.sglt.asia/assets_android/levels/df2a/df2a.unity.scene_ab7a066b08327b87.zip
df3 | not_downloaded | 528565993 | 220040000 | d42b56673c88a4f0 | levels/df3/df3.unity.scene | http://download10.sglt.asia/assets_android/levels/df3/df3.unity.scene_d42b56673c88a4f0.zip
df4 | not_downloaded | 665094658 | 220070000 | 9ec6f6cc018e312d | levels/df4/df4.unity.scene | http://download10.sglt.asia/assets_android/levels/df4/df4.unity.scene_9ec6f6cc018e312d.zip
df_prison | not_downloaded | 610082 | 520010000 | 5365a42f3bd258ef | levels/df_prison/df_prison.unity.scene | http://download10.sglt.asia/assets_android/levels/df_prison/df_prison.unity.scene_5365a42f3bd258ef.zip
idab1_dreadgion | not_downloaded | 41919597 | 300110000 | 7f8eb68b14d6aa17 | levels/idab1_dreadgion/idab1_dreadgion.unity.scene | http://download10.sglt.asia/assets_android/levels/idab1_dreadgion/idab1_dreadgion.unity.scene_7f8eb68b14d6aa17.zip
idab1_minicastle | not_downloaded | 21215069 | 300030000 | 9511b880d7cd280b | levels/idab1_minicastle/idab1_minicastle.unity.scene | http://download10.sglt.asia/assets_android/levels/idab1_minicastle/idab1_minicastle.unity.scene_9511b880d7cd280b.zip
idabgated1 | not_downloaded | 10536231 | 320030000 | 2009333abe74e4dc | levels/idabgated1/idabgated1.unity.scene | http://download10.sglt.asia/assets_android/levels/idabgated1/idabgated1.unity.scene_2009333abe74e4dc.zip
idabgated2 | not_downloaded | 10299573 | 320040000 | 54d2fbfe2b786b4b | levels/idabgated2/idabgated2.unity.scene | http://download10.sglt.asia/assets_android/levels/idabgated2/idabgated2.unity.scene_54d2fbfe2b786b4b.zip
idabgatel1 | not_downloaded | 10541962 | 310030000 | 4bd36fc17e64681e | levels/idabgatel1/idabgatel1.unity.scene | http://download10.sglt.asia/assets_android/levels/idabgatel1/idabgatel1.unity.scene_4bd36fc17e64681e.zip
idabgatel2 | not_downloaded | 10297130 | 310040000 | 092683087d5961ad | levels/idabgatel2/idabgatel2.unity.scene | http://download10.sglt.asia/assets_android/levels/idabgatel2/idabgatel2.unity.scene_092683087d5961ad.zip
idabpro | not_downloaded | 8485196 | 300010000 | 3f72de1ae27cdf4f | levels/idabpro/idabpro.unity.scene | http://download10.sglt.asia/assets_android/levels/idabpro/idabpro.unity.scene_3f72de1ae27cdf4f.zip
idabprod1 | not_downloaded | 14193039 | 320010000 | 39701f8188b1978b | levels/idabprod1/idabprod1.unity.scene | http://download10.sglt.asia/assets_android/levels/idabprod1/idabprod1.unity.scene_39701f8188b1978b.zip
idabprod2 | not_downloaded | 14199604 | 320020000 | d302af42c8a4a59f | levels/idabprod2/idabprod2.unity.scene | http://download10.sglt.asia/assets_android/levels/idabprod2/idabprod2.unity.scene_d302af42c8a4a59f.zip
idabprod3 | not_downloaded | 14189992 | 320140000 | 3e6f43f00dfdf04c | levels/idabprod3/idabprod3.unity.scene | http://download10.sglt.asia/assets_android/levels/idabprod3/idabprod3.unity.scene_3e6f43f00dfdf04c.zip
idabprol1 | not_downloaded | 14197071 | 310010000 | da08c30ceb046084 | levels/idabprol1/idabprol1.unity.scene | http://download10.sglt.asia/assets_android/levels/idabprol1/idabprol1.unity.scene_da08c30ceb046084.zip
