10	7281	
id	name	skill	skilllevel	civ	limit	product	count	dp	component
int	text	int	int	int	int	string	int	int	string
155000001	STR_L_CV_HERB_N_C_10A	40009	1	1	0	1215	3	200	1216
155000002	STR_L_CV_SHELL_N_C_10A	40009	1	1	0	1217	3	200	1216
155000003	STR_L_CV_FISH_N_C_10A	40009	1	1	0	1218	3	200	1216
155000004	STR_L_CV_BERRY_N_C_10A	40009	1	1	0	1219	3	200	1216
155000005	STR_L_CV_METAL_N_C_10A	40009	1	1	0	1220	2	200	1216
155000006	STR_L_CV_VEGETABLE_N_C_10A	40009	1	1	0	1221	3	200	1216
155000007	STR_L_CV_PLANT_N_C_10A	40009	1	1	0	1222	2	200	1216
155000008	STR_L_CV_TREE_N_C_10A	40009	1	1	0	1223	2	200	1216
155000009	STR_L_CV_NOBLEMETAL_N_C_10A	40009	1	1	0	1224	1	200	1216
155000010	STR_L_CV_JEWELRY_N_C_10A	40009	1	1	0	1225	1	200	1226
155000011	STR_L_CV_HERB_N_C_10B	40009	1	1	0	1227	3	200	1216
155000012	STR_L_CV_BERRY_N_C_10B	40009	1	1	0	1228	3	200	1216
155000013	STR_L_CV_VEGETABLE_N_C_10B	40009	1	1	0	1229	3	200	1216
155000014	STR_L_CV_JEWELRY_N_C_10C	40009	1	1	0	1230	1	200	1226
155000015	STR_L_CV_FISH_N_C_10B	40009	1	1	0	1231	3	200	1216
155000016	STR_L_CV_VEGETABLE_N_C_10C	40009	1	1	0	1232	3	200	1216
155000017	STR_L_CV_JEWELRY_N_C_10B	40009	1	1	0	1233	1	200	1226
155000018	STR_L_CV_SHELL_N_C_10B	40009	1	1	0	1234	3	200	1216
155000019	STR_L_CV_BERRY_N_C_10C	40009	1	1	0	1235	3	200	1216
155000020	STR_L_CV_FISH_N_C_10C	40009	1	1	0	1236	3	200	1216
155000021	STR_L_CV_METAL_N_C_20A	40009	1	1	0	1237	2	200	1238
155000022	STR_L_CV_HERB_N_C_20A	40009	1	1	0	1239	3	200	1238
155000023	STR_L_CV_BERRY_N_C_20A	40009	1	1	0	1240	3	200	1238
155000024	STR_L_CV_VEGETABLE_N_C_20A	40009	1	1	0	1241	3	200	1238
155000025	STR_L_CV_FISH_N_C_20A	40009	1	1	0	1242	3	200	1238
155000026	STR_L_CV_TREE_N_C_20A	40009	1	1	0	1243	2	200	1238
155000027	STR_L_CV_JEWELRY_N_C_20A	40009	1	1	0	1244	1	200	1245
155000028	STR_L_CV_PLANT_N_C_20A	40009	1	1	0	1246	2	200	1238
155000029	STR_L_CV_NOBLEMETAL_N_C_20A	40009	1	1	0	1247	1	200	1238
155000030	STR_L_CV_JEWELRY_N_C_20B	40009	1	1	0	1248	1	200	1245
155000031	STR_L_CV_BERRY_N_C_20B	40009	1	1	0	1249	3	200	1238
155000032	STR_L_CV_HERB_N_C_20B	40009	1	1	0	1250	3	200	1238
155000033	STR_L_CV_VEGETABLE_N_C_20B	40009	1	1	0	1251	3	200	1238
155000034	STR_L_CV_JEWELRY_N_C_20C	40009	1	1	0	1252	1	200	1245
155000035	STR_L_CV_FISH_N_C_20B	40009	1	1	0	1253	3	200	1238
155000036	STR_L_CV_METAL_N_C_30A	40009	1	1	0	1254	2	200	1255
155000037	STR_L_CV_NOBLEMETAL_N_C_30A	40009	1	1	0	1256	1	200	1255
155000038	STR_L_CV_JEWELRY_N_C_30A	40009	1	1	0	1257	1	200	1258
155000039	STR_L_CV_BERRY_N_C_30A	40009	1	1	0	1259	3	200	1255
155000040	STR_L_CV_HERB_N_C_30A	40009	1	1	0	1260	3	200	1255
