36	25526	
id	name	desc	icon	itemtype	itemlevel	playerlevel	sex	civ	quality	tradein	price	sellnpc	deal	breakable	storage	expire	sound	mataudio	mesh	meshbattle	visualslot	colormale	colorfemale	dye	soul	gem	god	changeskin	dismantle	charge	lambda	attrmain	attrbonus	attrcharge1	attrcharge2
int	text	string	string	int	int	string	int	int	int	lambda	int	int	int	int	int	int	string	string	string	string	int	hex	hex	int	int	int	int	int	int	string	lambda	string	string	string	string
110000001	STR_NPC_CL_TORSO_01	0	15032	1201	1	15033	0	3	1	0	5	1	1	1	2	0	15034	269	15035	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15036	0	0	0
110000002	STR_NPC_CL_TORSO_02	0	15032	1201	1	15033	0	3	1	0	5	1	1	1	2	0	15034	269	15037	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15036	0	0	0
110000003	STR_NPC_CL_TORSO_03	0	15032	1201	1	15033	0	3	1	0	5	1	1	1	2	0	15034	269	15038	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15036	0	0	0
110000004	STR_NPC_CL_TORSO_501	0	15032	1201	1	15033	0	3	1	0	5	1	1	1	2	0	15034	269	15039	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15036	0	0	0
110000005	STR_NPC_CL_TORSO_502	0	15032	1201	1	15033	0	3	1	0	5	1	1	1	2	0	15034	269	15040	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15036	0	0	0
110000006	STR_NPC_CL_TORSO_04	0	15032	1201	1	15033	0	3	1	0	5	1	1	1	2	0	15034	269	15041	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15036	0	0	0
110000007	STR_NPC_CL_TORSO_05	0	15032	1201	1	15033	0	3	1	0	5	1	1	1	2	0	15034	269	15042	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15036	0	0	0
110000008	STR_CL_TORSO_D_LEHPAR_01	0	15032	1201	1	15033	0	3	1	0	5	0	0	1	0	0	15034	269	15043	0	0	a8543a	a8543a	0	10	1	0	1	1	0	0	15036	0	0	0
110100005	STR_NPC_RB_TORSO_01	0	15044	1601	1	15033	0	3	1	0	5	1	1	1	2	0	15045	269	15046	0	0	ffffff	ffffff	0	10	1	0	1	1	0	0	15047	15048	0	0
