36	8161	
id	name	desc	icon	itemtype	itemlevel	playerlevel	sex	civ	quality	tradein	price	sellnpc	deal	breakable	storage	expire	sound	mataudio	mesh	meshbattle	fxidle	fxbattle	soul	gem	god	changeskin	dismantle	charge	lambda	attackdelay	attacktype	attrmain	attrbonus	attrcharge1	attrcharge2
int	text	string	string	int	int	string	int	int	int	lambda	int	int	int	int	int	int	string	string	string	string	string	string	int	int	int	int	int	string	lambda	float	int	string	string	string	string
100000001	STR_SWORD_CIRCULOUS	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29610	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000002	STR_GOBLIN_PICK	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29613	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000003	STR_ORCSWORD1	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29614	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000004	STR_ORCSWORD2	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29615	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000005	STR_ORCSTAFF	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29616	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000006	STR_ORCDRAUMSTICK	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29617	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000007	STR_GOBLINCOOK	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29618	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000008	STR_KRALLKEEPERTSTONE	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29619	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000009	STR_SOULSWORD01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29620	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000010	STR_LYCANSWORD01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29621	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000011	STR_LYCANSWORD02	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29622	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000012	STR_LYCANSWORD03	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29623	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000013	STR_RATMANHOE	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29625	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000014	STR_RATMANCOMB	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29626	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000015	STR_SOULSWORD02	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29627	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000016	STR_NAGASWORD01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29628	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000017	STR_BROWNIEAXE01	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29629	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000018	STR_LIZARDSWORD01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29630	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000019	STR_LIZARDWIELD01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29631	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000020	STR_SOULMACE01	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29632	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000021	STR_GOBLINHAMMER	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29633	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000022	STR_NAGAMACE01	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29634	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000023	STR_CHERUBIMCLUB01	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29635	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000024	STR_LIZARDMACE01	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29636	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000025	STR_SPRIGGCLUB01	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29637	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000026	STR_LEHPAR_MACE01	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29638	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000027	STR_DRAKANSWORD01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29639	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000028	STR_LEHPAR_SWORD01	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29640	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000029	STR_LEHPAR_SWORD01	0	29624	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29609	268	29641	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
100000030	STR_ORCSTAFF	0	29608	1013	1	15033	0	3	1	0	5	1	1	1	2	0	29612	268	29642	0	0	0	0	0	1	1	1	0	0	1.4	0	29611	0	0	0
