28	21437	
id	name	desc	icon	itemtype	cashtype	flavor	itemlevel	playerlevel	sex	civ	spell	cd	cdid	stack	quality	tradein	price	sellnpc	deal	breakable	storage	reuse	expire	anim	vfx	sound	lambda
int	text	string	string	int	int	string	int	string	int	int	float	float	int	int	int	lambda	int	int	int	int	int	int	int	string	string	string	lambda
140000001	STR_ITEM_STIGMA_HEAL_G2	34582	34583	302	0	0	20	15065	0	3	0	0	0	1	2	0	5	0	0	1	0	0	0	0	0	34584	34585
140000002	STR_ITEM_STIGMA_FLAMECAGE_G1	34586	34583	302	0	0	20	15065	0	3	0	0	0	1	2	0	5	0	0	1	0	0	0	0	0	34584	34587
140000003	STR_ITEM_STIGMA_ROBUSTHIT_G3	34588	34583	302	0	0	20	15065	0	3	0	0	0	1	2	0	5	0	0	1	0	0	0	0	0	34584	34589
140000004	STR_ITEM_STIGMA_HYDROPRESS_G2	34590	34583	302	0	0	20	15065	0	3	0	0	0	1	2	0	5	0	0	1	0	0	0	0	0	34584	34591
140000005	STR_STIGMA_FI_P_EQUIP_DUAL_G1	34592	34583	302	0	0	20	34593	0	3	0	0	0	1	2	0	800	1	1	1	2	0	0	0	0	34584	34594
140000006	STR_STIGMA_FI_P_CONSTATBOOSTPHYSICALDEFENSE_G1	34595	34583	302	0	0	28	34596	0	3	0	0	0	1	2	0	1120	1	1	1	2	0	0	0	0	34584	34597
140000007	STR_STIGMA_FI_P_EQUIP_DUAL_G2	34598	34583	302	0	0	40	34599	0	3	0	0	0	1	2	0	3200	1	1	1	2	0	0	0	0	34584	34600
140000008	STR_STIGMA_FI_FI_POTENTIALHEALTH_G1	34601	34583	302	0	0	20	34593	0	3	0	0	0	1	2	0	600	1	1	1	2	0	0	0	0	34584	34602
140000009	STR_STIGMA_FI_FI_CRIPPLINGCUT_G1	34603	34583	302	0	0	22	34604	0	3	0	0	0	1	2	0	880	1	1	1	2	0	0	0	0	34584	34605
140000010	STR_STIGMA_FI_FI_CRIPPLINGCUT_G2	34606	34583	302	0	0	28	34596	0	3	0	0	0	1	2	0	1120	1	1	1	2	0	0	0	0	34584	34607
140000011	STR_STIGMA_FI_FI_ANKLEGRAB_G1	34608	34583	302	0	0	28	34596	0	3	0	0	0	1	2	0	1120	1	1	1	2	0	0	0	0	34584	34609
140000012	STR_STIGMA_FI_FI_LOCKDOWNIMPACT_G1	34610	34583	302	0	0	31	34611	0	3	0	0	0	1	2	0	1860	1	1	1	2	0	0	0	0	34584	34612
140000013	STR_STIGMA_FI_FI_CRIPPLINGCUT_G3	34613	34583	302	0	0	34	34614	0	3	0	0	0	1	2	0	2040	1	1	1	2	0	0	0	0	34584	34615
140000014	STR_STIGMA_FI_FI_HOWLING_G1	34616	34583	302	0	0	34	34614	0	3	0	0	0	1	2	0	2040	1	1	1	2	0	0	0	0	34584	34617
140000015	STR_STIGMA_FI_FI_LOCKDOWNIMPACT_G2	34618	34583	302	0	0	37	34619	0	3	0	0	0	1	2	0	2220	1	1	1	2	0	0	0	0	34584	34620
140000016	STR_STIGMA_FI_WA_STEADINESS_G1	34621	34583	302	0	0	37	34622	0	3	0	0	0	1	2	0	2220	1	1	1	2	0	0	0	0	34584	34623
140000017	STR_STIGMA_FI_FI_CRIPPLINGCUT_G4	34624	34583	302	0	0	40	34599	0	3	0	0	0	1	2	0	3200	1	1	1	2	0	0	0	0	34584	34625
140000018	STR_STIGMA_FI_WA_GATECRUSH_G1	34626	34583	302	0	0	40	34627	0	3	0	0	0	1	2	0	3200	1	1	1	2	0	0	0	0	34584	34628
140000019	STR_STIGMA_FI_FI_LOCKDOWNIMPACT_G3	34629	34583	302	0	0	43	34630	0	3	0	0	0	1	2	0	3440	1	1	1	2	0	0	0	0	34584	34631
140000020	STR_STIGMA_FI_FI_HEAVYIMPACT_G1	34632	34583	302	0	0	44	34633	0	3	0	0	0	1	2	0	3520	1	1	1	2	0	0	0	0	34584	34634
140000021	STR_STIGMA_FI_FI_CRIPPLINGCUT_G5	34635	34583	302	0	0	46	34636	0	3	0	0	0	1	2	0	3680	1	1	1	2	0	0	0	0	34584	34637
140000022	STR_STIGMA_FI_WA_GATECRUSH_G2	34638	34583	302	0	0	46	34639	0	3	0	0	0	1	2	0	3680	1	1	1	2	0	0	0	0	34584	34640
140000023	STR_STIGMA_FI_FI_BLADEMODE_G1	34641	34583	302	0	0	48	34642	0	3	0	0	0	1	2	0	3840	1	1	1	2	0	0	0	0	34584	34643
140000024	STR_STIGMA_FI_FI_LOCKDOWNIMPACT_G4	34644	34583	302	0	0	49	34645	0	3	0	0	0	1	2	0	3920	1	1	1	2	0	0	0	0	34584	34646
140000025	STR_STIGMA_FI_FI_HEAVYIMPACT_G2	34647	34583	302	0	0	50	17485	0	3	0	0	0	1	2	0	5000	1	1	1	2	0	0	0	0	34584	34648
140000026	STR_STIGMA_KN_KN_HOLYWRATH_G1	34649	34583	302	0	0	20	34650	0	3	0	0	0	1	2	0	800	1	1	1	2	0	0	0	0	34584	34651
140000027	STR_STIGMA_KN_KN_DIVINEPOWER_G1	34652	34583	302	0	0	20	34650	0	3	0	0	0	1	2	0	600	1	1	1	2	0	0	0	0	34584	34653
140000028	STR_STIGMA_KN_KN_STUNNINGSNACHER_G1	34654	34583	302	0	0	22	34655	0	3	0	0	0	1	2	0	880	1	1	1	2	0	0	0	0	34584	34656
140000029	STR_STIGMA_KN_KN_MASSIVEPROVOKE_G1	34657	34583	302	0	0	25	34658	0	3	0	0	0	1	2	0	1000	1	1	1	2	0	0	0	0	34584	34659
140000030	STR_STIGMA_KN_KN_DIVINESLASH_G1	34660	34583	302	0	0	28	34661	0	3	0	0	0	1	2	0	1120	1	1	1	2	0	0	0	0	34584	34662
140000031	STR_STIGMA_KN_KN_HOLYWRATH_G2	34663	34583	302	0	0	31	34664	0	3	0	0	0	1	2	0	1860	1	1	1	2	0	0	0	0	34584	34665
140000032	STR_STIGMA_KN_KN_MASSIVEPROVOKE_G2	34666	34583	302	0	0	31	34664	0	3	0	0	0	1	2	0	1860	1	1	1	2	0	0	0	0	34584	34667
140000033	STR_STIGMA_KN_KN_DIVINESLASH_G2	34668	34583	302	0	0	34	34669	0	3	0	0	0	1	2	0	2040	1	1	1	2	0	0	0	0	34584	34670
140000034	STR_STIGMA_KN_KN_BREAKPOWER_G1	34671	34583	302	0	0	34	34669	0	3	0	0	0	1	2	0	2040	1	1	1	2	0	0	0	0	34584	34672
140000035	STR_STIGMA_KN_KN_MASSIVEPROVOKE_G3	34673	34583	302	0	0	37	34674	0	3	0	0	0	1	2	0	2220	1	1	1	2	0	0	0	0	34584	34675
140000036	STR_STIGMA_KN_KN_GRANDPROTECTION_G1	34676	34583	302	0	0	37	34674	0	3	0	0	0	1	2	0	2220	1	1	1	2	0	0	0	0	34584	34677
140000037	STR_STIGMA_KN_KN_DIVINESLASH_G3	34678	34583	302	0	0	40	34679	0	3	0	0	0	1	2	0	3200	1	1	1	2	0	0	0	0	34584	34680
140000038	STR_STIGMA_KN_KN_BREAKPOWER_G2	34681	34583	302	0	0	40	34679	0	3	0	0	0	1	2	0	3200	1	1	1	2	0	0	0	0	34584	34682
140000039	STR_STIGMA_KN_KN_HOLYWRATH_G3	34683	34583	302	0	0	42	34684	0	3	0	0	0	1	2	0	3360	1	1	1	2	0	0	0	0	34584	34685
140000040	STR_STIGMA_KN_KN_MASSIVEPROVOKE_G4	34686	34583	302	0	0	43	34687	0	3	0	0	0	1	2	0	3440	1	1	1	2	0	0	0	0	34584	34688
140000041	STR_STIGMA_KN_KN_CONQUESTMIND_G1	34689	34583	302	0	0	44	34690	0	3	0	0	0	1	2	0	3520	1	1	1	2	0	0	0	0	34584	34691
140000042	STR_STIGMA_KN_KN_DIVINESLASH_G4	34692	34583	302	0	0	46	34693	0	3	0	0	0	1	2	0	3680	1	1	1	2	0	0	0	0	34584	34694
140000043	STR_STIGMA_KN_KN_BREAKPOWER_G3	34695	34583	302	0	0	46	34693	0	3	0	0	0	1	2	0	3680	1	1	1	2	0	0	0	0	34584	34696
140000044	STR_STIGMA_KN_KN_ABSOLUTESCARE_G1	34697	34583	302	0	0	48	34698	0	3	0	0	0	1	2	0	3840	1	1	1	2	0	0	0	0	34584	34699
