5	1260	
id	mapid	priority	data	poly
int	int	int	string	poly
1	110010000	5	25130	570,596;1425.88,1590.06;1448.05,1610.09;1462.83,1596.85;1481.64,1615.2;1477.5,1633.25;1474.01,1642.31;1510.78,1653.78;1506.95,1697.88;1443.87,1704.97;1432.84,1712.52;1384.03,1726.29;1370.61,1691.9;1377.08,1641.45
2	110010000	3	69959	530,910;1829.28,1361.2;1831.87,1634.49;1877.23,1702.32;1970.1,1703.1;1969.29,1298.32;1873.28,1298.42
3	110010000	5	15142	560,860;1901.99,1434.82;1901.75,1588.21;1834.06,1588.46;1834.01,1434.4
4	110010000	15	21869	570,604;1895.71,1399.3;1932.54,1421.55;1935.53,1437.42;1934.78,1495.75;1953.2,1499.07;1952.46,1524.51;1934.29,1524.24;1934.16,1583.52;1928.59,1597.26;1913.81,1607.74;1920.96,1617.32;1940.04,1606.32;1953.17,1610.65;1959.13,1581.98;1959.57,1527.18;1951.41,1524.71;1951.79,1498.98;1959.87,1499.77;1960.14,1437.12;1950.05,1403.62;1908.75,1378.95
5	110010000	1	15061	0.1,15.5;12.52,3565.57;-38.38,-255.18;3214.41,-247.3;3262.71,3558.04
6	110010000	2	15192	252,1252;-106.61,-308.44;-32.67,3608.21;3318.9,3631.48;3321.9,1589.87;2114.66,1611.53;1973.06,1614.63;1974.41,1409.13;2112.82,1408.67;2115.62,1606.03;3325.91,1585.54;3300.71,-327.28
7	110010000	1	15165	15.5,265.5;3348.71,3660.79;3325.2,-353.66;-136.47,-332.99;-66.92,3633.46
8	110010000	10	15065	806,836;1851.38,1491.32;1853.45,1530.45;1857,1530.46;1858.2,1545.22;1880.53,1545.36;1880.12,1532.28;1882.33,1532.38;1882.8,1503.05;1882.6,1491.93;1879.43,1491.84;1879.43,1479.02;1857.58,1478.86;1856.89,1490.93
9	110010000	2	15057	550,650;1829.03,1388.97;1822.44,1390.17;1830.23,1432.14;1881.19,1433.34;1899.27,1434.79;1900.47,1588.79;1833.83,1588.61;1833.23,1643.77;1885.46,1626.56;1933.17,1596.06;1937.1,1526.51;1945.82,1527.36;1946.42,1496.21;1936.6,1496.38;1936.07,1421.69;1896.78,1399.76;1873.74,1388.29
10	110010000	5	15194	522.41,552.41;1808.19,2202.58;1811.54,2208.22;1816.79,2214.22;1823.16,2217.81;1831.24,2219.45;1837.62,2218.88;1843.36,2216.03;1847.53,2212.31;1849.32,2210.56;1853.24,2203.17;1854.55,2196.19;1854.29,2193.31;1851.09,2183.84;1845.65,2177.89;1839.55,2174.46;1830.67,2172.93;1820.74,2175.47;1813.14,2181.66;1809.58,2188.04;1808.22,2195.55
11	110010000	8	15257	558.1,658.1;1830.37,1746.28;1857.5,1821.85;1902.97,1872.46;2057.73,1868.03;2058.73,1683.03;1913.36,1684.95
12	110010000	0	27313	622,805.4;1855.58,1508.78;1856.02,1513.13;1856.75,1516.28;1859.14,1518.73;1861.15,1520.65;1865.46,1521.8;1869.75,1520.67;1873.2,1518.79;1875.15,1516.32;1876.7,1512.94;1876.76,1509.97;1875.65,1506.1;1873.31,1502.87;1869.36,1500.43;1863.14,1500.19;1859.14,1502.94;1857.01,1505.64
13	110010000	1	15132	564.62,644.62;1521.06,1418.96;1497.96,1427.72;1462.52,1477.9;1463.71,1549.98;1487.21,1584.23;1499.56,1595.78;1521.06,1603.75;1587.57,1602.95;1588.36,1568.3;1603.1,1543.21;1601.91,1481.49;1590.36,1456.79;1587.97,1424.14
14	110010000	80	15098	572.76,599.76;1604.02,1456.26;1613.8,1456.27;1621.18,1466.27;1623.61,1482.3;1626.37,1498.09;1631.69,1502.16;1631.38,1523.78;1625.11,1526.6;1623.06,1545.68;1618.57,1561.85;1613.73,1567.15;1603.47,1564.58;1596.41,1558.34;1605.11,1544.08;1605.72,1528.5;1597.35,1516.91;1597.5,1506.12;1605.07,1494.43;1602.71,1478.44;1595.67,1463.77
15	110010000	3	69960	530,910;1685.83,1350.32;1682.84,1415.08;1669.91,1429.48;1641.42,1420.13;1630.66,1432.25;1634.35,1587.41;1630.03,1594.8;1611.18,1603.17;1610.91,1627.43;1616.71,1635.01;1624.69,1716.75;1561.11,1864.19;1502.49,1887.77;1430.73,1879.11;1364.85,1844.42;1333.66,1780.82;1389.13,1587.85;1347.86,1551.77;1346.82,1460.58;1268.82,1417.08;1304.55,1203.34;1432.35,1130.43;1522.27,1290.98;1538.65,1379.25;1638.33,1374.43;1656.67,1341.95
16	110010000	10	15091	0.1,105.1;1531.77,1834.57;1543.67,1825.51;1554.39,1839.25;1551.33,1841.71;1555.75,1847.33;1550.17,1851.86;1546.06,1845.93;1542.64,1848.39
17	110010000	3	69961	15.49,264.49;926.98,2191.75;992.08,2005.39;1056.61,1956.85;1078.92,1897.03;1184.78,1790.1;1189.06,1748.4;1156.27,1734.5;1101.73,1779.95;1101.38,1842.5;1001.91,1875.12;926.01,1817.9;879.62,1713.3;787,1738.77;697.17,1708.83;666.76,1631.91;747.43,1499.25;762.4,1355.96;854.35,1293.73;984.99,1314.7;1057.05,1234.02;1181.44,1244.36;1196.57,1209.79;1150.79,1167.01;1091.62,1171.64;1036.02,1076.47;972.93,1052.95;918.39,994.14;936.57,888.27;1019.96,838.19;1263.74,858.43;1288.2,936.31;1329.75,867.9;1433.72,803.42;1465.8,725.36;1530.35,680.71;1629,669.14;1672.84,721.53;1695.3,830.6;1741.28,863.75;1772.29,832.74;1837.56,873.61;1923.83,840.74;2053.54,859.93;2143.89,968.04;2196.83,1080.21;2296.71,1192.38;2389.42,1219.52;2420.37,1327.65;2397.63,1480.21;2311.3,1571.03;2333.91,1611.89;2409.68,1695.07;2479.03,1843.81;2376.48,2045.25;2146.15,2036.71;2176.35,2294.52;2117.37,2398.79;2036.27,2423.91;1931.47,2411.07;1812.68,2469.15;1691.77,2478.67;1653.53,2405.3;1700.5,2333.01;1708.88,2223.13;1530.49,2206.7;1394.45,2133.22;1373.07,2101.14;1264,2061.57;1243.66,2118.52;1184.93,2156.82;1121.84,2167.51;1118.63,2208.14;1113.28,2285.13;1012.77,2252.13
18	110010000	8	15138	560,660;1293.19,1458.47;1294.96,1568.72;1354.87,1568.6;1354.87,1464.17
19	110010000	20	15168	565,605;1320.85,1354.04;1350.4,1368.54;1363.63,1341.08;1448,1381.26;1433.63,1408.17;1460.83,1421.1;1448.17,1449.77;1419.28,1437.27;1406.55,1466.47;1295.24,1413.05
