6	2707	
id	mapid	type	priority	name	poly
int	int	int	int	string	poly
1	110010000	0	17	68464	561.31,661.31;1483.67,1408.47;1510.28,1395.86;1524.29,1362.24;1529.69,1324.17;1469.97,1196.41;1398.7,1218.31;1366.12,1265.91;1408.98,1354.67;1453.42,1379.21;1461.75,1399.57
2	110010000	0	16	72100	500,700;1681.21,2103.91;1700.88,2228.28;1781.46,2307.72;1867.98,2308.62;1926.94,2260.25;1956.03,2133.15;1901.77,1998.42;1840.91,1960.14;1744.93,1969.28
3	110010000	0	15	68466	560.8,660.8;1896.66,1398.78;1909.16,1376.46;1933.08,1389.27;1919.64,1411.73;1908.92,1405.76;1907.65,1408.63;1903.9,1406.53;1905.7,1403.67
4	110010000	0	15	68468	528,548;1816.26,2178.12;1813.09,2181.62;1809.52,2187.7;1807.82,2194.98;1808.75,2202.38;1811.87,2209.14;1816.93,2214.24;1823.24,2218.03;1828.43,2219;1833.81,2219.13;1839.51,2217.61;1843.5,2216.17;1849.38,2210.72;1852.95,2204.28;1854.64,2197.29;1853.69,2190.19;1850.58,2183.01;1845.93,2178.31;1839.47,2174.46;1832.64,2173.25;1829.09,2173.26;1828.19,2167.72;1820.1,2170.28;1821.41,2174.91;1820.69,2175.63
5	110010000	0	15	72101	556.24,656.24;1952.93,1499.55;1974.7,1498.64;1974.7,1414.28;2101.69,1418.82;2103.51,1603.86;1971.07,1602.96;1971.07,1523.13;1954.75,1523.13
6	110010000	0	14	72102	558.7,658.7;1349.15,1501.15;1349.15,1524.83;1296.16,1542.3;1267.97,1512.99;1295.6,1484.8
7	110010000	0	15	72103	550,650;1327.14,1687.49;1424.67,1591.88;1446.66,1610.53;1458.12,1602.31;1469.32,1592.88;1488.18,1614.69;1467.3,1633.49;1522.53,1662.18;1409.78,1784.91
8	110010000	0	15	68470	560,660;1281.81,1415.33;1322.27,1328.44;1438.94,1379.33;1455.55,1412.62;1463.79,1423.91;1449.91,1452.71;1436,1446.73;1415.81,1471.49
9	110010000	0	16	72104	564.48,664.48;1833.57,1390.5;1843.28,1358.61;1885.81,1367.6;1941.68,1395.56;1965.03,1432.25;1965.86,1587.35;1935.51,1629.12;1857.51,1672.65;1840.95,1633.48;1832.44,1632.03;1833.39,1411.27
10	110010000	0	14	68472	650.33,850.33;1829.17,1509.34;1832.52,1493.72;1842.56,1476.98;1859.85,1468.62;1886.63,1474.2;1900.02,1481.45;1906.71,1492.6;1906.16,1509.34;1902.81,1537.79;1883.84,1546.72;1863.76,1549.51;1847.02,1550.62;1835.87,1541.14;1828.61,1525.52
11	110010000	0	14	72105	526.26,626.26;1663.94,1487.18;1658.96,1489.7;1655.73,1494.05;1655.88,1502.18;1659.91,1506.03;1663.66,1507.11;1675.12,1503.92;1676.5,1489.24
12	110010000	0	16	72106	500,650;1401.94,1479.37;1401.63,1549.62;1434.11,1627.09;1470.45,1640.84;1647.02,1738.87;1685.16,1620.65;1681.75,1572.34;1690.72,1462.05;1697.74,1336.87;1530.06,1341.79;1479.3,1395.6;1443.05,1425.94;1407.18,1446.58
13	110010000	0	14	72107	545,566;1598.72,1482.59;1599.09,1476.66;1603.54,1468.88;1612.06,1460.36;1622.43,1460.36;1626.51,1471.47;1629.84,1472.59;1630.21,1492.96;1625.77,1498.89;1626.14,1524.09;1630.58,1524.09;1636.14,1530.39;1635.4,1551.14;1632.81,1551.88;1629.47,1563.36;1616.88,1563.73;1607.24,1557.06;1605.02,1550.39;1602.43,1543.35;1606.87,1527.42;1614.28,1524.83;1613.91,1501.12;1604.28,1498.52;1599.83,1490.74
14	110010000	0	15	72108	557.8,657.8;1828.62,1432.69;1901.88,1435.13;1901.77,1588.66;1834.65,1587.5;1834.94,1576.92;1824.02,1536.87;1825.29,1484.3;1832.74,1445.04
15	110010000	0	14	68474	550,650;1636.78,1340.62;1694.99,1341.47;1692.44,1378.43;1685.21,1395.85;1686.06,1415.82;1675.02,1429.84;1633.81,1412;1632.53,1358.46
16	110010000	0	16	68476	543.63,643.63;1837.87,1716.47;1865.9,1700.71;1903.35,1700.38;1904.19,1709.62;1905.93,1710.08;2006.91,1712.97;2006.04,1800.56;1971,1801.43;1971,1826.83;1944.72,1828.58;1943.85,1804.94;1836.99,1803.18
17	110010000	0	15	68478	526.16,626.16;1682.27,1392.32;1852.53,1319.66;1831.5,1388.5;1839,1389.5;1837.75,1413.75;1831,1432.25;1830.5,1450.75;1826.25,1470.25;1823.75,1538.75;1834.25,1580;1833,1587;1836.12,1630.59;1870.13,1699.25;1838.39,1719.63;1750.72,1712.03;1667.64,1682.47;1628.09,1635.38;1628.3,1594.99;1640.04,1578.46;1637.12,1457.73;1645.47,1468.03;1661.17,1469.01;1672.14,1466.84;1680.15,1458.83;1686.88,1435.47;1682.19,1408.65
18	110010000	0	15	68480	558.73,658.73;1288.36,1512.22;1332.01,1572.8;1372.98,1577.72;1386.13,1563.7;1385.18,1539.63;1413.73,1533.19;1411.76,1488.62;1384.75,1485.69;1386.17,1474.04;1379.31,1463.74;1367.08,1458.09;1337.09,1451.99
19	110010000	1	8	72109	548.85,570.53;1613.14,1500.66;1594.57,1499.59;1593.66,1454.25;1631.97,1454.9;1631.63,1498.97;1626.33,1500.53;1628.17,1523.03;1636.93,1524.25;1637.62,1570.65;1599.37,1569.68;1600.08,1523.69;1612.67,1522.22
20	110010000	1	8	72110	571.91,601.91;1297.4,1411.7;1323.03,1356.86;1352.54,1369.38;1359.96,1354.29;1442.57,1393.05;1435.57,1407.81;1464.87,1421.21;1450.26,1451.18;1421.79,1438.27;1412.94,1457.04;1333.69,1418.33;1328.87,1427.06;1293.04,1410.97
21	110010000	1	8	72111	568.17,618.17;1400.29,1666.98;1375.39,1642.56;1421.58,1592.18;1447.73,1616.85;1465,1598.35;1482.65,1614.31;1463.74,1633.45;1477.14,1644.8;1483.84,1646.19;1499.16,1649.24;1508.13,1664.44;1501.21,1677.52;1487.44,1681.44;1468.96,1679.66;1442.29,1707.76;1416.32,1682.5;1408.14,1692.46;1404.58,1703.13;1391.78,1709.18;1380.75,1707.05;1374.35,1697.09;1376.92,1682.19;1390.12,1675.86
22	110010000	1	8	72112	588.87,608.87;1935.29,1582.59;1960.76,1582.22;1960.39,1556.76;1935.64,1556.74
23	110010000	1	8	72113	804.92,834.92;1853.06,1478.5;1853.06,1543.92;1881.25,1543.92;1881.25,1478.5
24	110010000	1	8	72114	527.71,552.42;1808.48,2198.98;1808.7,2191.9;1811.09,2185.12;1815.55,2179.02;1822.33,2174.7;1829.03,2172.84;1836.18,2173.36;1842.74,2175.96;1848.4,2180.13;1852.42,2186.02;1854.43,2193.24;1854.06,2200.17;1851.53,2207.84;1847.28,2213.28;1841.47,2216.93;1834.32,2219.01;1827.02,2218.79;1820.32,2216.03;1814.59,2211.86;1810.49,2206.05;1808.55,2199.27
25	110010000	1	8	72115	587.99,607.99;1936.98,1462.98;1962.09,1462.62;1961.73,1437.15;1936.98,1437.13
26	110010000	1	8	72116	580.9,600.9;1981.41,1586.4;2062.83,1586.76;2062.83,1435.79;1982.13,1437.6;1982.14,1504.44;1946.67,1504.44;1945.58,1517.61;1981.78,1517.61
27	110010000	1	8	72117	588.87,608.87;1934.22,1553;1959.69,1552.64;1959.32,1527.17;1934.57,1527.15
28	110010000	1	7	72118	582.66,632.66;1900.45,1433.04;1899.92,1588.87;1834.46,1587.89;1834.75,1436.66
29	110010000	1	8	72119	587.39,607.39;1916.32,1606.79;1892,1620.06;1905.64,1640.69;1927.01,1627.42
30	110010000	1	8	72120	570.92,592.64;1612.77,1568.29;1601.52,1564.5;1596.14,1559.07;1600.82,1548.9;1603.65,1528.64;1596.75,1516.83;1596.4,1506.64;1603.65,1495.62;1604.01,1478.22;1595.16,1464.35;1603.65,1456.92;1613.59,1455.5;1619.02,1464.6;1621.63,1473.53;1623.43,1498.13;1629.48,1503.43;1631.66,1511.7;1629.29,1520.41;1623.53,1525.07;1621.34,1549.24;1618.76,1558.76
31	110010000	1	8	72121	589.13,609.13;1920.61,1412.55;1933.06,1390.95;1909.97,1377.41;1896.76,1398.99
32	110010000	1	8	72122	587.71,607.71;1935.88,1496.76;1961.35,1496.39;1960.99,1470.93;1936.24,1470.91
33	110020000	0	16	72123	1000,1500;2095.43,1631.29;2166.76,1499.34;2257.69,1545.7;2181.91,1679.43
34	110020000	1	8	72124	1198.75,1240.6;2176.94,1653.3;2115.66,1619.11;2170.94,1523.23;2231.17,1559
35	120010000	0	16	68482	0,300;952.02,1028.24;934.03,1096.7;928.82,1098.99;920.66,1108.04;915.95,1125.01;918.99,1138.95;923.01,1142.73;906.61,1210.48;1045.09,1244.72;1060.38,1180.95;1101.99,1189.51;1104.19,1168.21;1065.35,1161.76;1088.91,1063.08
36	120010000	0	15	72125	0.1,300.1;804.19,1418.48;834.01,1388.95;844.57,1398.07;850.65,1393.01;858.9,1400.68;852.53,1407.48;870.91,1424.85;840.37,1455.68
37	120010000	0	16	72126	0,300;1325.26,1022.05;1325.4,1089.48;1365.51,1089.48;1365.36,1091.65;1372.09,1091.78;1371.98,1089.33;1411.8,1089.5;1411.97,1021.83
38	120010000	0	16	68484	0,300;1226.07,1448.15;1220.77,1461.83;1181.12,1448.66;1173.94,1451.73;1164.54,1475.49;1161.28,1474.47;1159.86,1475.29;1147.95,1510.19;1139.41,1551.3;1146.8,1573.71;1145.22,1597.37;1209.15,1619.94;1223.52,1598.24;1244.02,1585.41;1278.38,1493.1;1273.08,1492.07;1274.44,1483.87;1273.44,1479.61;1235.3,1467.3;1240.94,1453.62
39	120010000	0	16	68486	0,300;1171.93,1283.9;1153.32,1283.75;1153.2,1266.81;1122.47,1266.66;1122.43,1274.49;1105.89,1274.49;1105.93,1307.52;1123.03,1307.48;1123.04,1315.08;1152.65,1315.14;1152.69,1299.07;1172.18,1299.02
40	120010000	0	16	72127	208.88,508.88;1138.47,1358.89;1128.96,1363.99;1128.96,1387.1;1133.8,1389.59;1139.11,1391.78;1155.01,1391.72;1155.09,1378.92;1156.39,1378.92;1156.55,1372.12;1155.25,1372.12;1155.02,1359.36
41	120010000	0	16	68488	0,300;1375.3,1175.81;1375.3,1189.74;1372.46,1189.74;1372.46,1196.77;1375.45,1196.77;1375.45,1230.17;1406.45,1230.17;1406.45,1175.81
42	120010000	0	15	72128	0,203;1433.75,1289.76;1434.09,1297.53;1429.48,1297.54;1429.48,1316.93;1447.68,1316.9;1447.76,1332.23;1440.06,1336.22;1433.57,1345.55;1425.78,1359.89;1424.16,1369.47;1424.31,1431.63;1426.32,1441.62;1430.72,1450.2;1439.54,1459.16;1439.56,1481.1;1499.2,1481.19;1499.23,1451.38;1505.88,1451.38;1505.86,1447.52;1522.5,1447.41;1522.46,1430.52;1506,1430.43;1506.13,1372.6;1522.34,1372.66;1522.47,1355.84;1505.34,1355.83;1505.34,1351.92;1498.59,1351.91;1498.57,1332.24;1490.28,1332.37;1490.26,1315.7;1452.82,1315.73;1452.97,1294.06;1438.99,1294;1438.97,1289.76
43	120010000	0	17	68490	190,490;1345.93,1388.52;1345.93,1414.09;1384.7,1413.88;1384.7,1447.7;1427,1447.5;1426.8,1414.92;1453.99,1415.01;1453.9,1408.25;1456.53,1408.25;1456.67,1394.03;1453.9,1394.03;1453.99,1386.95;1434.4,1386.97;1434.19,1354.39;1392.13,1354.39;1392.13,1387.8
44	120010000	0	20	68492	0,300;933.42,1378.33;924.57,1382.2;904.11,1402.73;890.92,1416.58;871.94,1432.05;862,1438.53;850.99,1441.34;835.38,1440.1;855.16,1461.26;892.55,1485.19;928.44,1451.49;949.06,1440.05;964.64,1438.84;990.38,1447.45;1004.29,1456.38;1037.47,1486.82;1029.59,1494.7;1039.95,1505.37;1048.24,1497.3;1093.92,1542.02;1113.9,1523.17;1113.9,1510.23;1136.38,1487.33;1113.9,1464.66;1118.31,1461.68;1106.62,1445.58;1106.29,1445.04;1098.47,1451.71;1088.23,1457.7;1076.16,1444.12;1093.22,1426.59;1043.96,1378.33;1000.68,1354.07;981.47,1390.02;957.55,1377.58;941.25,1376.12
45	120010000	0	16	68494	0,300;841.07,1321.07;797.3,1277.07;767.15,1308.34;810.31,1351.62;801.37,1361.52;807.16,1367.77;784.47,1390.27;816.18,1419.25;839.73,1395.48;863.33,1419.59;878.49,1404.44;892.24,1416.75;904.95,1403.41;894.33,1390.13;911.4,1372.81;883.87,1345.24;906.63,1322.09;875.81,1292.31;855.2,1314.61;851.36,1310.78
46	120010000	0	18	68496	0,300;1105.26,1251.01;1105.03,1315.41;1137.22,1315.93;1137.66,1346.55;1122.37,1357.79;1122.51,1396.2;1144.2,1418.49;1101,1450.96;1110.15,1466.55;1153.72,1436.9;1154.36,1477.26;1137.55,1550.83;1144.26,1574.06;1143.36,1599.08;1209.94,1622.77;1225.58,1599.08;1246.13,1587.02;1271.6,1519.12;1278.04,1523.28;1283.57,1523.47;1287.77,1521.95;1291.79,1517.28;1300.92,1529.82;1297.38,1544.46;1303.95,1567.69;1327.18,1576.78;1390.8,1555.07;1391.81,1533.86;1379.69,1506.08;1364.95,1466.96;1369.91,1457.42;1369.96,1445.73;1358.08,1426.15;1346.07,1426.15;1346.12,1413.87;1346.05,1388.2;1367.37,1388.07;1367.28,1344.19;1418.54,1344.13;1418.54,1290.25;1444.96,1289.9;1445.2,1243.36;1424.04,1243.1;1423.69,1270.92;1377.86,1271.09;1377.74,1246.65;1361.63,1246.62;1361.63,1251.21;1338.7,1251.21;1338.71,1253.35;1285.12,1253.39;1285.12,1264.33;1266.34,1264.33;1266.34,1251.03;1205.95,1251.11;1205.95,1246.42;1194.92,1246.42;1194.92,1251.11;1123.35,1251.05
47	120010000	0	16	68498	0,300;1031.1,1495.78;1008.09,1518.88;992.81,1505.24;975.45,1502.34;959.98,1504.28;886.51,1577.8;901.49,1615.58;919.47,1636.07;955.28,1649.02;1027.79,1577.62;1032.27,1557.56;1028.8,1540.69;1016.67,1526.86;1039.28,1503.59
48	120010000	0	18	68500	180,480;1455.16,1392.64;1455.38,1409.16;1505.15,1409.05;1505,1429.14;1521.85,1429.1;1521.85,1448.08;1600.59,1447.92;1600.59,1439.01;1647.33,1438.46;1647.33,1415.72;1684.27,1415.68;1684.27,1386.04;1647.56,1386.08;1647.52,1364.64;1599.83,1364.49;1599.91,1355.18;1522.15,1355.35;1521.85,1374.7;1505.39,1374.71;1505.2,1392.67
