23	3938	
id	name	type	category	civ	career	sex	level	colorlevel	prequest	prerequisite	mutexaccept	mutexcomplete	share	abandon	repeatcount	reset	accept	reward1	reward2	reward3	reward4	rewardex
int	text	int	text	int	int	int	int	int	string	lambda	string	string	int	int	int	int	lambda	lambda	lambda	lambda	lambda	lambda
1000	STR_QUEST_NAME_Q1000	5	STR_QUEST_ZONE01	1	4095	0	1	1	0	0	0	0	0	0	1	0	0	100911	0	0	0	0
1001	STR_QUEST_NAME_Q1001	0	STR_QUEST_ZONE01	1	4095	0	1	3	0	0	0	0	0	0	1	0	0	100912	0	0	0	0
1002	STR_QUEST_NAME_Q1002	0	STR_QUEST_ZONE01	1	4095	0	1	5	0	0	0	0	0	0	1	0	0	100913	0	0	0	0
1003	STR_QUEST_NAME_Q1003	0	STR_QUEST_ZONE01	1	4095	0	3	7	0	0	0	0	0	0	1	0	0	100914	0	0	0	0
1004	STR_QUEST_NAME_Q1004	0	STR_QUEST_ZONE01	1	4095	0	4	8	0	0	0	0	0	0	1	0	0	100915	0	0	0	0
1005	STR_QUEST_NAME_Q1005	0	STR_QUEST_ZONE01	1	4095	0	4	9	100916	0	0	0	0	0	1	0	0	100917	0	0	0	0
1006	STR_QUEST_NAME_Q1006	0	STR_QUEST_ZONE21	1	4095	0	9	9	0	0	0	0	0	0	1	0	100918	100919	0	0	0	0
1007	STR_QUEST_NAME_Q1007	0	STR_QUEST_ZONE21	1	4095	0	10	10	0	0	0	0	0	0	1	0	100918	100920	100921	100922	100923	0
1011	STR_QUEST_NAME_Q1011	0	STR_QUEST_ZONE02	1	4095	0	10	11	0	0	0	0	0	0	1	0	0	100924	100925	100925	100925	0
1012	STR_QUEST_NAME_Q1012	0	STR_QUEST_ZONE02	1	4095	0	10	12	0	0	0	0	0	0	1	0	0	100926	0	0	0	0
1013	STR_QUEST_NAME_Q1013	0	STR_QUEST_ZONE02	1	4095	0	10	13	0	0	0	0	0	0	1	0	0	100927	0	0	0	0
1014	STR_QUEST_NAME_Q1014	0	STR_QUEST_ZONE02	1	4095	0	10	14	0	0	0	0	0	0	1	0	0	100928	0	0	0	0
1015	STR_QUEST_NAME_Q1015	0	STR_QUEST_ZONE02	1	4095	0	10	15	0	0	0	0	0	0	1	0	0	100929	0	0	0	0
1016	STR_QUEST_NAME_Q1016	0	STR_QUEST_ZONE02	1	4095	0	12	17	0	0	0	0	0	0	1	0	0	100930	0	0	0	0
1017	STR_QUEST_NAME_Q1017	0	STR_QUEST_ZONE02	1	4095	0	13	18	0	0	0	0	0	0	1	0	0	100931	0	0	0	0
1018	STR_QUEST_NAME_Q1018	0	STR_QUEST_ZONE02	1	4095	0	13	18	0	0	0	0	0	0	1	0	0	100932	0	0	0	0
1019	STR_QUEST_NAME_Q1019	0	STR_QUEST_ZONE02	1	4095	0	14	19	0	0	0	0	0	0	1	0	0	100933	0	0	0	0
1020	STR_QUEST_NAME_Q1020	0	STR_QUEST_ZONE02	1	4095	0	15	21	100934	0	0	0	0	0	1	0	0	100935	0	0	0	0
1021	STR_QUEST_NAME_Q1021	0	STR_QUEST_ZONE02	1	4095	0	11	16	70794	0	0	0	0	0	1	0	0	100936	0	0	0	0
1022	STR_QUEST_NAME_Q1022	0	STR_QUEST_ZONE02	1	4095	0	14	19	70796	0	0	0	0	0	1	0	0	100937	0	0	0	0
1023	STR_QUEST_NAME_Q1023	0	STR_QUEST_ZONE02	1	4095	0	15	20	70793	0	0	0	0	0	1	0	0	100938	0	0	0	0
1031	STR_QUEST_NAME_Q1031	0	STR_QUEST_ZONE03	1	4095	0	19	21	0	0	0	0	0	0	1	0	0	100939	0	0	0	0
1032	STR_QUEST_NAME_Q1032	0	STR_QUEST_ZONE03	1	4095	0	19	23	0	0	0	0	0	0	1	0	0	100940	0	0	0	0
1033	STR_QUEST_NAME_Q1033	0	STR_QUEST_ZONE03	1	4095	0	20	25	0	0	0	0	0	0	1	0	0	100941	100942	0	0	0
1034	STR_QUEST_NAME_Q1034	0	STR_QUEST_ZONE03	1	4095	0	21	26	0	0	0	0	0	0	1	0	0	100943	0	0	0	0
1035	STR_QUEST_NAME_Q1035	0	STR_QUEST_ZONE03	1	4095	0	26	31	0	0	0	0	0	0	1	0	0	100944	0	0	0	0
1036	STR_QUEST_NAME_Q1036	0	STR_QUEST_ZONE03	1	4095	0	24	29	0	0	0	0	0	0	1	0	0	100945	0	0	0	0
1037	STR_QUEST_NAME_Q1037	0	STR_QUEST_ZONE03	1	4095	0	25	30	0	0	0	0	0	0	1	0	0	100946	0	0	0	0
1038	STR_QUEST_NAME_Q1038	0	STR_QUEST_ZONE03	1	4095	0	29	34	0	0	0	0	0	0	1	0	0	100947	0	0	0	0
1039	STR_QUEST_NAME_Q1039	0	STR_QUEST_ZONE03	1	4095	0	29	34	100948	0	0	0	0	0	1	0	0	100949	0	0	0	0
1040	STR_QUEST_NAME_Q1040	0	STR_QUEST_ZONE03	1	4095	0	31	36	70820	0	0	0	0	0	1	0	0	100950	0	0	0	0
1041	STR_QUEST_NAME_Q1041	0	STR_QUEST_ZONE03	1	4095	0	33	38	70815	0	0	0	0	0	1	0	0	100951	0	0	0	0
1042	STR_QUEST_NAME_Q1042	0	STR_QUEST_ZONE03	1	4095	0	35	40	70814	0	0	0	0	0	1	0	0	100952	0	0	0	0
1043	STR_QUEST_NAME_Q1043	0	STR_QUEST_ZONE03	1	4095	0	35	41	100953	0	0	0	0	0	1	0	0	100954	100955	100955	100955	0
1044	STR_QUEST_NAME_Q1044	0	STR_QUEST_ZONE22	1	4095	0	25	25	100956	0	0	0	0	0	1	0	100918	100957	100958	100958	100958	0
1051	STR_QUEST_NAME_Q1051	0	STR_QUEST_ZONE04	1	4095	0	30	32	0	0	0	0	0	0	1	0	0	100959	0	0	0	0
1052	STR_QUEST_NAME_Q1052	0	STR_QUEST_ZONE04	1	4095	0	30	34	0	0	0	0	0	0	1	0	0	100960	0	0	0	0
1053	STR_QUEST_NAME_Q1053	0	STR_QUEST_ZONE04	1	4095	0	33	38	0	0	0	0	0	0	1	0	0	100961	0	0	0	0
1054	STR_QUEST_NAME_Q1054	0	STR_QUEST_ZONE04	1	4095	0	31	36	100962	0	0	0	0	0	1	0	0	100963	0	0	0	0
1055	STR_QUEST_NAME_Q1055	0	STR_QUEST_ZONE04	1	4095	0	34	39	0	0	0	0	0	0	1	0	0	100964	0	0	0	0
1056	STR_QUEST_NAME_Q1056	0	STR_QUEST_ZONE04	1	4095	0	35	40	100965	0	0	0	0	0	1	0	0	100966	0	0	0	0
1057	STR_QUEST_NAME_Q1057	0	STR_QUEST_ZONE04	1	4095	0	37	42	70834	0	0	0	0	0	1	0	0	100967	0	0	0	0
1058	STR_QUEST_NAME_Q1058	0	STR_QUEST_ZONE04	1	4095	0	38	43	70820	0	0	0	0	0	1	0	0	100968	0	0	0	0
1059	STR_QUEST_NAME_Q1059	0	STR_QUEST_ZONE04	1	4095	0	36	41	0	0	0	0	0	0	1	0	0	100969	0	0	0	0
1062	STR_QUEST_NAME_Q1062	0	STR_QUEST_ZONE04	1	4095	0	41	46	0	0	0	0	0	0	1	0	0	100970	0	0	0	0
1063	STR_QUEST_NAME_Q1063	0	STR_QUEST_ZONE04	1	4095	0	41	48	100971	0	0	0	0	0	1	0	0	100972	0	0	0	0
1071	STR_QUEST_NAME_Q1071	0	STR_QUEST_ZONE09	1	4095	0	25	30	0	0	0	0	0	0	1	0	0	100973	0	0	0	0
1072	STR_QUEST_NAME_Q1072	0	STR_QUEST_ZONE09	1	4095	0	25	25	0	0	0	0	0	0	1	0	0	100974	0	0	0	0
1073	STR_QUEST_NAME_Q1073	0	STR_QUEST_ZONE09	1	4095	0	25	27	0	0	0	0	0	0	1	0	0	100975	0	0	0	0
1074	STR_QUEST_NAME_Q1074	0	STR_QUEST_ZONE09	1	4095	0	26	31	0	0	0	0	0	0	1	0	0	100976	0	0	0	0
1075	STR_QUEST_NAME_Q1075	0	STR_QUEST_ZONE09	1	4095	0	32	37	70853	0	0	0	0	0	1	0	0	100977	0	0	0	0
1076	STR_QUEST_NAME_Q1076	0	STR_QUEST_ZONE09	1	4095	0	35	40	100978	0	0	0	0	0	1	0	0	100979	0	0	0	0
1077	STR_QUEST_NAME_Q1077	0	STR_QUEST_ZONE09	1	4095	0	35	45	100980	0	0	0	0	0	1	0	0	100981	0	0	0	0
1091	STR_QUEST_NAME_Q1091	0	STR_QUEST_ZONE25	1	4095	0	45	45	0	0	0	0	0	0	1	0	100918	100982	0	0	0	0
1092	STR_QUEST_NAME_Q1092	0	STR_QUEST_ZONE25	1	4095	0	45	46	0	0	0	0	0	0	1	0	0	100983	0	0	0	0
1093	STR_QUEST_NAME_Q1093	0	STR_QUEST_ZONE25	1	4095	0	46	48	70866	0	0	0	0	0	1	0	0	100984	0	0	0	0
1094	STR_QUEST_NAME_Q1094	0	STR_QUEST_ZONE25	1	4095	0	46	50	100985	0	0	0	0	0	1	0	0	100986	0	0	0	0
1096	STR_QUEST_NAME_Q1096	0	STR_QUEST_ZONE32	1	4095	0	50	50	100987	0	0	0	0	0	1	0	100918	100988	0	0	0	0
1097	STR_QUEST_NAME_Q1097	0	STR_QUEST_ZONE32	1	4095	0	50	50	70869	0	0	0	0	0	1	0	100918	100989	0	0	0	0
1098	STR_QUEST_NAME_Q1098	0	STR_QUEST_ZONE32	1	4095	0	50	50	70870	0	0	0	0	0	1	0	100918	100989	0	0	0	0
