32	7006	
id	category	categorylevel	name	desc	subtype	weapon	hideweapon	movable	autoattack	icon	anim	fxspell	fxcast	fxammo	fxprehit	fxhit	fxhitinterval	spellway	qte	spell	splash	weaponrange	cdid	cd	cost	nobattle	buff	select	subselect	selectstate	lambda
int	int	int	text	text	int	string	int	int	int	string	string	string	string	string	string	string	string	int	string	float	int	int	int	float	lambda	int	string	lambda	lambda	lambda	lambda
50046	0	0	STR_SKILLCUSTOM_SPIRITATTACK	STR_SKILLCUSTOM_DESC_SPIRITATTACK	0	0	0	0	0	122863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50047	0	0	STR_SKILLCUSTOM_SPIRITMOVE	STR_SKILLCUSTOM_DESC_SPIRITMOVE	0	0	0	0	0	122864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50048	0	0	STR_SKILLCUSTOM_SPIRITIDLE	STR_SKILLCUSTOM_DESC_SPIRITIDLE	0	0	0	0	0	122865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50049	0	0	STR_SKILLCUSTOM_SPIRITDISMISS	STR_SKILLCUSTOM_DESC_SPIRITDISMISS	0	0	0	0	0	122866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50050	0	0	STR_SKILLCUSTOM_TABSELECT	STR_SKILLCUSTOM_DESC_TABSELECT	0	0	0	0	0	122867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50051	0	0	STR_SKILLCUSTOM_JUMP	STR_SKILLCUSTOM_DESC_JUMP	0	0	0	0	0	122868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50052	0	0	STR_SKILLCUSTOM_BUG	STR_SKILLCUSTOM_DESC_BUG	0	0	0	0	0	122869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60001	0	0	STR_ITEMCUSTOM_200000005	STR_ITEMCUSTOM_DESC_200000005	0	0	0	0	2	66162	0	0	0	0	0	122870	0	2	0	0	0	0	0	0	0	0	0	0	0	0	122871
60002	0	0	STR_ITEMCUSTOM_200000006	STR_ITEMCUSTOM_DESC_200000006	0	0	0	0	2	66165	0	0	0	0	0	122870	0	2	0	0	0	0	0	0	0	0	0	0	0	0	122872
60003	0	0	STR_ITEMCUSTOM_200000005	STR_ITEMCUSTOM_DESC_200000005	0	0	0	0	2	66162	0	0	0	0	0	122870	0	2	0	0	0	0	0	0	0	0	0	122873	0	122874	122875
60004	0	0	STR_ITEMCUSTOM_200000006	STR_ITEMCUSTOM_DESC_200000006	0	0	0	0	2	66165	0	0	0	0	0	122870	0	2	0	0	0	0	0	0	0	0	0	122873	0	122874	122876
70001	0	0	STR_ITEMCUSTOM_200000301	STR_ITEMCUSTOM_DESC_200000301	0	0	0	0	2	53336	0	0	0	0	0	51932	0	2	0	0	0	0	0	0	0	0	0	0	0	0	122877
1	0	0	STR_SKILL_P_EQUIP_ENHANCEDSWORD_G1	STR_SKILL_P_EQUIP_ENHANCEDSWORD_G1_DESC	0	0	0	0	0	122878	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	122879
2	0	0	STR_SKILL_WA_EQUIP_ENHANCEDDAGGER	STR_SKILL_WA_EQUIP_ENHANCEDDAGGER_DESC	0	0	0	0	0	122880	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	122881
3	0	0	STR_SKILL_P_EQUIP_ENHANCEDMACE_G1	STR_SKILL_P_EQUIP_ENHANCEDMACE_G1_DESC	0	0	0	0	0	122882	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	122883
4	0	0	STR_SKILL_P_EQUIP_ENHANCEDCLOTH_G1	STR_SKILL_P_EQUIP_ENHANCEDCLOTH_G1_DESC	0	0	0	0	0	122884	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	122885
5	0	0	STR_SKILL_P_EQUIP_ENHANCEDLEATHER_G1	STR_SKILL_P_EQUIP_ENHANCEDLEATHER_G1_DESC	0	0	0	0	0	122886	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	122887
6	0	0	STR_SKILL_P_EQUIP_ENHANCEDCHAIN_G1	STR_SKILL_P_EQUIP_ENHANCEDCHAIN_G1_DESC	0	0	0	0	0	122888	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	122889
7	0	0	STR_SKILL_P_EQUIP_ENHANCEDSHIELD_G1	STR_SKILL_P_EQUIP_ENHANCEDSHIELD_G1_DESC	0	0	0	0	0	122890	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	122891
8	0	0	STR_SKILL_P_EQUIP_SWORD_G1	STR_SKILL_P_EQUIP_SWORD_G1_DESC	0	0	0	0	0	122892	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	122893
9	0	0	STR_SKILL_P_EQUIP_DAGGER_G1	STR_SKILL_P_EQUIP_DAGGER_G1_DESC	0	0	0	0	0	122894	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	122895
10	0	0	STR_SKILL_P_EQUIP_MACE_G1	STR_SKILL_P_EQUIP_MACE_G1_DESC	0	0	0	0	0	122896	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	122897
11	0	0	STR_SKILL_FI_EQUIP_CLOTH	STR_SKILL_FI_EQUIP_CLOTH_DESC	0	0	0	0	0	122880	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	122898
12	0	0	STR_SKILL_P_EQUIP_LEATHER_G1	STR_SKILL_P_EQUIP_LEATHER_G1_DESC	0	0	0	0	0	122899	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	122900
13	0	0	STR_SKILL_P_EQUIP_CHAIN_G1	STR_SKILL_P_EQUIP_CHAIN_G1_DESC	0	0	0	0	0	122901	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	122902
14	0	0	STR_SKILL_P_EQUIP_SHIELD_G1	STR_SKILL_P_EQUIP_SHIELD_G1_DESC	0	0	0	0	0	122903	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	122904
15	0	0	STR_SKILL_P_EQUIP_2HSWORD_G1	STR_SKILL_P_EQUIP_2HSWORD_G1_DESC	0	0	0	0	0	122905	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	122906
16	0	0	STR_SKILL_P_EQUIP_POLEARM_G1	STR_SKILL_P_EQUIP_POLEARM_G1_DESC	0	0	0	0	0	122907	0	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	122908
17	0	0	STR_SKILL_P_EQUIP_BOW_G1	STR_SKILL_P_EQUIP_BOW_G1_DESC	0	0	0	0	0	122909	0	0	0	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0	0	0	122910
18	0	0	STR_SKILL_P_EQUIP_PLATE_G1	STR_SKILL_P_EQUIP_PLATE_G1_DESC	0	0	0	0	0	122911	0	0	0	0	0	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	122912
19	0	0	STR_SKILL_P_EQUIP_DUAL_G1	STR_SKILL_P_EQUIP_DUAL_DESC	0	0	0	0	0	122913	0	0	0	0	0	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	122914
20	0	0	STR_SKILL_KN_EQUIP_SWORD	STR_SKILL_KN_EQUIP_SWORD_DESC	0	0	0	0	0	122915	0	0	0	0	0	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	122916
21	0	0	STR_SKILL_KN_EQUIP_DAGGER	STR_SKILL_KN_EQUIP_DAGGER_DESC	0	0	0	0	0	122880	0	0	0	0	0	0	0	1	0	0	0	0	21	0	0	0	0	0	0	0	122917
22	0	0	STR_SKILL_KN_EQUIP_MACE	STR_SKILL_KN_EQUIP_MACE_DESC	0	0	0	0	0	122918	0	0	0	0	0	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	122919
23	0	0	STR_SKILL_KN_EQUIP_CLOTH	STR_SKILL_KN_EQUIP_CLOTH_DESC	0	0	0	0	0	122880	0	0	0	0	0	0	0	1	0	0	0	0	23	0	0	0	0	0	0	0	122920
24	0	0	STR_SKILL_KN_EQUIP_LEATHER	STR_SKILL_KN_EQUIP_LEATHER_DESC	0	0	0	0	0	122921	0	0	0	0	0	0	0	1	0	0	0	0	24	0	0	0	0	0	0	0	122922
25	0	0	STR_SKILL_KN_EQUIP_CHAIN	STR_SKILL_KN_EQUIP_CHAIN_DESC	0	0	0	0	0	122923	0	0	0	0	0	0	0	1	0	0	0	0	25	0	0	0	0	0	0	0	122924
26	0	0	STR_SKILL_KN_EQUIP_SHIELD	STR_SKILL_KN_EQUIP_SHIELD_DESC	0	0	0	0	0	122925	0	0	0	0	0	0	0	1	0	0	0	0	26	0	0	0	0	0	0	0	122926
27	0	0	STR_SKILL_KN_EQUIP_2HSWORD	STR_SKILL_KN_EQUIP_2HSWORD_DESC	0	0	0	0	0	122927	0	0	0	0	0	0	0	1	0	0	0	0	27	0	0	0	0	0	0	0	122928
28	0	0	STR_SKILL_KN_EQUIP_PLATE	STR_SKILL_KN_EQUIP_PLATE_DESC	0	0	0	0	0	122929	0	0	0	0	0	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	122930
29	0	0	STR_SKILL_SC_EQUIP_ENHANCEDSWORD	STR_SKILL_SC_EQUIP_ENHANCEDSWORD_DESC	0	0	0	0	0	122931	0	0	0	0	0	0	0	1	0	0	0	0	29	0	0	0	0	0	0	0	122932
30	0	0	STR_SKILL_P_EQUIP_ENHANCEDDAGGER_G1	STR_SKILL_P_EQUIP_ENHANCEDDAGGER_G1_DESC	0	0	0	0	0	122933	0	0	0	0	0	0	0	1	0	0	0	0	30	0	0	0	0	0	0	0	122934
31	0	0	STR_SKILL_SC_EQUIP_ENHANCEDBOW	STR_SKILL_SC_EQUIP_ENHANCEDBOW_DESC	0	0	0	0	0	122880	0	0	0	0	0	0	0	1	0	0	0	0	31	0	0	0	0	0	0	0	122935
32	0	0	STR_SKILL_SC_EQUIP_ENHANCEDCLOTH	STR_SKILL_SC_EQUIP_ENHANCEDCLOTH_DESC	0	0	0	0	0	122936	0	0	0	0	0	0	0	1	0	0	0	0	32	0	0	0	0	0	0	0	122937
33	0	0	STR_SKILL_SC_EQUIP_ENHANCEDLEATHER	STR_SKILL_SC_EQUIP_ENHANCEDLEATHER_DESC	0	0	0	0	0	122938	0	0	0	0	0	0	0	1	0	0	0	0	33	0	0	0	0	0	0	0	122939
34	0	0	STR_SKILL_SC_EQUIP_ENHANCEDDUAL	STR_SKILL_SC_EQUIP_ENHANCEDDUAL_DESC	0	0	0	0	0	122940	0	0	0	0	0	0	0	1	0	0	0	0	34	0	0	0	0	0	0	0	122941
35	0	0	STR_SKILL_RA_EQUIP_SWORD	STR_SKILL_RA_EQUIP_SWORD_DESC	0	0	0	0	0	122942	0	0	0	0	0	0	0	1	0	0	0	0	35	0	0	0	0	0	0	0	122943
36	0	0	STR_SKILL_RA_EQUIP_DAGGER	STR_SKILL_RA_EQUIP_DAGGER_DESC	0	0	0	0	0	122944	0	0	0	0	0	0	0	1	0	0	0	0	36	0	0	0	0	0	0	0	122945
37	0	0	STR_SKILL_RA_EQUIP_BOW	STR_SKILL_RA_EQUIP_BOW_DESC	0	0	0	0	0	122946	0	0	0	0	0	0	0	1	0	0	0	0	37	0	0	0	0	0	0	0	122947
38	0	0	STR_SKILL_RA_EQUIP_CLOTH	STR_SKILL_RA_EQUIP_CLOTH_DESC	0	0	0	0	0	122948	0	0	0	0	0	0	0	1	0	0	0	0	38	0	0	0	0	0	0	0	122949
39	0	0	STR_SKILL_RA_EQUIP_LEATHER	STR_SKILL_RA_EQUIP_LEATHER_DESC	0	0	0	0	0	122950	0	0	0	0	0	0	0	1	0	0	0	0	39	0	0	0	0	0	0	0	122951
40	0	0	STR_SKILL_RA_EQUIP_DUAL	STR_SKILL_RA_EQUIP_DUAL_DESC	0	0	0	0	0	122952	0	0	0	0	0	0	0	1	0	0	0	0	40	0	0	0	0	0	0	0	122953
41	0	0	STR_SKILL_AS_EQUIP_SWORD	STR_SKILL_AS_EQUIP_SWORD_DESC	0	0	0	0	0	122954	0	0	0	0	0	0	0	1	0	0	0	0	41	0	0	0	0	0	0	0	122955
42	0	0	STR_SKILL_AS_EQUIP_DAGGER	STR_SKILL_AS_EQUIP_DAGGER_DESC	0	0	0	0	0	122956	0	0	0	0	0	0	0	1	0	0	0	0	42	0	0	0	0	0	0	0	122957
