18	4180	
id	desc	type	dispel	hidelog	timemin	timemax	dot	lambda	render	buffaction	moveable	hidelevel	searchlevel	deform	openaerial	noskill	vehicle
int	text	int	int	string	string	string	lambda	lambda	string	int	int	int	int	int	int	int	int
60001	STR_BUFFCUSTOM_60001	1	0	0	0	135097	0	135098	0	0	1	0	0	0	0	0	0
60002	STR_BUFFCUSTOM_60002	1	0	0	0	135097	0	135099	0	0	1	0	0	0	0	0	0
60003	STR_BUFFCUSTOM_60001	1	0	0	0	135097	0	135098	0	0	1	0	0	0	0	0	0
60004	STR_BUFFCUSTOM_60002	1	0	0	0	135097	0	135099	0	0	1	0	0	0	0	0	0
70001	STR_BUFFCUSTOM_70001	1	0	0	0	135100	0	135101	0	0	1	0	0	0	0	0	0
1	0	0	0	0	0	0	0	135102	0	0	1	0	0	0	0	0	0
2	0	0	0	0	0	0	0	135103	0	0	1	0	0	0	0	0	0
3	0	0	0	0	0	0	0	135104	0	0	1	0	0	0	0	0	0
4	0	0	0	0	0	0	0	135105	0	0	1	0	0	0	0	0	0
5	0	0	0	0	0	0	0	135106	0	0	1	0	0	0	0	0	0
6	0	0	0	0	0	0	0	135107	0	0	1	0	0	0	0	0	0
7	0	0	0	0	0	0	0	135108	0	0	1	0	0	0	0	0	0
8	0	0	0	0	0	0	0	135109	0	0	1	0	0	0	0	0	0
9	0	0	0	0	0	0	0	135110	0	0	1	0	0	0	0	0	0
10	0	0	0	0	0	0	0	135111	0	0	1	0	0	0	0	0	0
11	0	0	0	0	0	0	0	135105	0	0	1	0	0	0	0	0	0
12	0	0	0	0	0	0	0	135106	0	0	1	0	0	0	0	0	0
13	0	0	0	0	0	0	0	135107	0	0	1	0	0	0	0	0	0
14	0	0	0	0	0	0	0	135112	0	0	1	0	0	0	0	0	0
15	0	0	0	0	0	0	0	135113	0	0	1	0	0	0	0	0	0
16	0	0	0	0	0	0	0	135114	0	0	1	0	0	0	0	0	0
17	0	0	0	0	0	0	0	135115	0	0	1	0	0	0	0	0	0
18	0	0	0	0	0	0	0	135116	0	0	1	0	0	0	0	0	0
19	0	0	0	0	0	0	0	135117	0	0	1	0	0	0	0	0	0
20	0	0	0	0	0	0	0	135118	0	0	1	0	0	0	0	0	0
21	0	0	0	0	0	0	0	135110	0	0	1	0	0	0	0	0	0
22	0	0	0	0	0	0	0	135119	0	0	1	0	0	0	0	0	0
23	0	0	0	0	0	0	0	135105	0	0	1	0	0	0	0	0	0
24	0	0	0	0	0	0	0	135106	0	0	1	0	0	0	0	0	0
25	0	0	0	0	0	0	0	135107	0	0	1	0	0	0	0	0	0
26	0	0	0	0	0	0	0	135112	0	0	1	0	0	0	0	0	0
27	0	0	0	0	0	0	0	135120	0	0	1	0	0	0	0	0	0
28	0	0	0	0	0	0	0	135116	0	0	1	0	0	0	0	0	0
29	0	0	0	0	0	0	0	135121	0	0	1	0	0	0	0	0	0
30	0	0	0	0	0	0	0	135122	0	0	1	0	0	0	0	0	0
31	0	0	0	0	0	0	0	135123	0	0	1	0	0	0	0	0	0
32	0	0	0	0	0	0	0	135105	0	0	1	0	0	0	0	0	0
33	0	0	0	0	0	0	0	135106	0	0	1	0	0	0	0	0	0
34	0	0	0	0	0	0	0	135124	0	0	1	0	0	0	0	0	0
35	0	0	0	0	0	0	0	135118	0	0	1	0	0	0	0	0	0
36	0	0	0	0	0	0	0	135110	0	0	1	0	0	0	0	0	0
37	0	0	0	0	0	0	0	135125	0	0	1	0	0	0	0	0	0
38	0	0	0	0	0	0	0	135105	0	0	1	0	0	0	0	0	0
39	0	0	0	0	0	0	0	135106	0	0	1	0	0	0	0	0	0
40	0	0	0	0	0	0	0	135124	0	0	1	0	0	0	0	0	0
41	0	0	0	0	0	0	0	135118	0	0	1	0	0	0	0	0	0
42	0	0	0	0	0	0	0	135110	0	0	1	0	0	0	0	0	0
43	0	0	0	0	0	0	0	135125	0	0	1	0	0	0	0	0	0
44	0	0	0	0	0	0	0	135105	0	0	1	0	0	0	0	0	0
45	0	0	0	0	0	0	0	135106	0	0	1	0	0	0	0	0	0
46	0	0	0	0	0	0	0	135124	0	0	1	0	0	0	0	0	0
47	0	0	0	0	0	0	0	135126	0	0	1	0	0	0	0	0	0
48	0	0	0	0	0	0	0	135127	0	0	1	0	0	0	0	0	0
49	0	0	0	0	0	0	0	135105	0	0	1	0	0	0	0	0	0
50	0	0	0	0	0	0	0	135106	0	0	1	0	0	0	0	0	0
51	0	0	0	0	0	0	0	135107	0	0	1	0	0	0	0	0	0
52	0	0	0	0	0	0	0	135119	0	0	1	0	0	0	0	0	0
53	0	0	0	0	0	0	0	135128	0	0	1	0	0	0	0	0	0
54	0	0	0	0	0	0	0	135105	0	0	1	0	0	0	0	0	0
55	0	0	0	0	0	0	0	135106	0	0	1	0	0	0	0	0	0
56	0	0	0	0	0	0	0	135107	0	0	1	0	0	0	0	0	0
57	0	0	0	0	0	0	0	135112	0	0	1	0	0	0	0	0	0
58	0	0	0	0	0	0	0	135119	0	0	1	0	0	0	0	0	0
59	0	0	0	0	0	0	0	135129	0	0	1	0	0	0	0	0	0
60	0	0	0	0	0	0	0	135105	0	0	1	0	0	0	0	0	0
61	0	0	0	0	0	0	0	135106	0	0	1	0	0	0	0	0	0
62	0	0	0	0	0	0	0	135107	0	0	1	0	0	0	0	0	0
63	0	0	0	0	0	0	0	135112	0	0	1	0	0	0	0	0	0
64	0	0	0	0	0	0	0	135130	0	0	1	0	0	0	0	0	0
65	0	0	0	0	0	0	0	135131	0	0	1	0	0	0	0	0	0
66	0	0	0	0	0	0	0	135105	0	0	1	0	0	0	0	0	0
67	0	0	0	0	0	0	0	135132	0	0	1	0	0	0	0	0	0
68	0	0	0	0	0	0	0	135133	0	0	1	0	0	0	0	0	0
69	0	0	0	0	0	0	0	135105	0	0	1	0	0	0	0	0	0
70	0	0	0	0	0	0	0	135132	0	0	1	0	0	0	0	0	0
71	0	0	0	0	0	0	0	135134	0	0	1	0	0	0	0	0	0
72	0	0	0	0	0	0	0	135135	0	0	1	0	0	0	0	0	0
73	0	0	0	0	0	0	0	135136	0	0	1	0	0	0	0	0	0
74	0	0	0	0	0	0	0	135137	0	0	1	0	0	0	0	0	0
75	0	0	0	0	0	0	0	135138	0	0	1	0	0	0	0	0	0
101	0	0	0	0	0	0	0	135139	0	0	1	0	0	0	0	0	0
102	0	0	0	0	0	0	0	135140	0	0	1	0	0	0	0	0	0
103	0	0	0	0	0	0	0	135141	0	0	1	0	0	0	0	0	0
104	0	0	0	0	0	0	0	135142	0	0	1	0	0	0	0	0	0
105	0	0	0	0	0	0	0	135143	0	0	1	0	0	0	0	0	0
106	0	0	0	0	0	0	135144	135145	0	0	1	0	0	0	0	0	0
107	0	0	0	0	0	0	135144	135146	0	0	1	0	0	0	0	0	0
108	0	0	0	0	0	0	0	135147	0	0	1	0	0	0	0	0	0
109	0	0	0	0	0	0	0	135148	0	0	1	0	0	0	0	0	0
110	0	0	0	0	0	0	0	135149	0	0	1	0	0	0	0	0	0
111	0	0	0	0	0	0	0	135150	0	0	1	0	0	0	0	0	0
112	0	0	0	0	0	0	0	135151	0	0	1	0	0	0	0	0	0
113	0	0	0	0	0	0	0	135152	0	0	1	0	0	0	0	0	0
114	0	0	0	135153	135153	135153	135153	135154	0	0	1	0	0	0	0	0	0
115	0	0	0	0	0	0	0	135155	0	0	1	0	0	0	0	0	0
116	0	0	0	0	0	0	0	135156	0	0	1	0	0	0	0	0	0
117	0	0	0	0	0	0	0	135157	0	0	1	0	0	0	0	0	0
118	0	0	0	0	0	0	0	135158	0	0	1	0	0	0	0	0	0
119	0	0	0	0	0	0	0	135159	0	0	1	0	0	0	0	0	0
120	0	0	0	0	0	0	0	135160	0	0	1	0	0	0	0	0	0
121	0	0	0	135161	135161	135161	135161	135162	0	0	1	0	0	0	0	0	0
122	0	0	0	0	0	0	0	135163	0	0	1	0	0	0	0	0	0
123	0	0	0	0	0	0	0	135164	0	0	1	0	0	0	0	0	0
124	0	0	0	0	0	0	135165	135166	0	0	1	0	0	0	0	0	0
125	0	0	0	0	0	0	0	135167	0	0	1	0	0	0	0	0	0
126	0	0	0	0	0	0	0	135168	0	0	1	0	0	0	0	0	0
127	0	0	0	0	0	0	0	135169	0	0	1	0	0	0	0	0	0
128	0	0	0	0	0	0	0	135170	0	0	1	0	0	0	0	0	0
129	0	0	0	0	0	0	0	135171	0	0	1	0	0	0	0	0	0
130	0	0	0	0	0	0	0	135172	0	0	1	0	0	0	0	0	0
131	0	0	0	0	0	0	0	135173	0	0	1	0	0	0	0	0	0
132	0	0	0	0	0	0	0	135174	0	0	1	0	0	0	0	0	0
133	0	0	0	0	0	0	0	135175	0	0	1	0	0	0	0	0	0
134	0	0	0	0	0	0	0	135176	0	0	1	0	0	0	0	0	0
135	0	0	0	0	0	0	0	135177	0	0	1	0	0	0	0	0	0
136	0	0	0	0	0	0	0	135178	0	0	1	0	0	0	0	0	0
137	0	0	0	0	0	0	0	135179	0	0	1	0	0	0	0	0	0
138	0	0	0	0	0	0	0	135180	0	0	1	0	0	0	0	0	0
139	0	0	0	0	0	0	0	135181	0	0	1	0	0	0	0	0	0
140	0	0	0	0	0	0	0	135182	0	0	1	0	0	0	0	0	0
141	0	0	0	0	0	0	0	135183	0	0	1	0	0	0	0	0	0
142	0	0	0	0	0	0	0	135184	0	0	1	0	0	0	0	0	0
143	0	0	0	0	0	0	0	135185	0	0	1	0	0	0	0	0	0
151	STR_SKILL_WA_ARMORBREAK_G1_ABNORMAL	2	2	0	0	21869	0	135186	0	0	1	0	0	0	0	0	0
152	STR_SKILL_WA_ARMORBREAK_G1_ABNORMAL	2	2	0	0	21869	0	135187	0	0	1	0	0	0	0	0	0
153	STR_SKILL_WA_ARMORBREAK_G1_ABNORMAL	2	2	0	0	21869	0	135188	0	0	1	0	0	0	0	0	0
154	STR_SKILL_WA_AVENGINGCRASH_ABNORMAL	2	4	0	0	25176	0	135189	135190	0	1	0	0	0	0	0	0
155	STR_SKILL_WA_AVENGINGCRASH_ABNORMAL	2	4	0	0	25176	0	135189	135190	0	1	0	0	0	0	0	0
156	STR_SKILL_WA_AVENGINGCRASH_ABNORMAL	2	4	0	0	25176	0	135189	135190	0	1	0	0	0	0	0	0
157	STR_SKILL_WA_AVENGINGCRASH_ABNORMAL	2	4	0	0	25176	0	135189	135190	0	1	0	0	0	0	0	0
161	STR_SKILL_WA_RAGE_G1_ABNORMAL	1	1	135161	135161	135191	135192	135193	0	0	1	0	0	0	0	0	0
162	STR_SKILL_WA_RAGE_G1_ABNORMAL	1	1	135161	135161	135191	135192	135194	0	0	1	0	0	0	0	0	0
163	STR_SKILL_WA_RAGE_G1_ABNORMAL	1	1	135161	135161	135191	135192	135195	0	0	1	0	0	0	0	0	0
164	STR_SKILL_WA_RAGE_G1_ABNORMAL	1	1	135161	135161	135191	135192	135196	0	0	1	0	0	0	0	0	0
173	0	0	0	135153	135197	135197	135197	135198	135199	0	1	0	0	0	0	0	0
174	STR_SKILL_WA_CELETIALPOWER_G1_ABNORMAL	1	0	135161	135161	135200	135161	135201	0	0	1	0	0	0	0	0	0
178	STR_SKILL_WA_ARMORBREAK_G1_ABNORMAL	2	2	0	0	21869	0	135202	0	0	1	0	0	0	0	0	0
179	STR_SKILL_WA_RAGE_G1_ABNORMAL	1	1	135161	135161	135191	135192	135203	0	0	1	0	0	0	0	0	0
181	STR_SKILL_WA_AVENGINGCRASH_ABNORMAL	2	4	0	0	25176	0	135189	0	0	1	0	0	0	0	0	0
182	STR_SKILL_WA_DASH_ABNORMAL	1	1	0	0	15057	0	135204	0	0	1	0	0	0	0	0	0
225	STR_SKILL_FI_FIGHTERRAGE_ABNORMAL	1	1	135161	135161	135205	135161	135206	0	0	1	0	0	0	0	0	0
